Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
7030787,3423975519,1274983418,'nhnhna000129','nhnhna000132','Veteran return','Veteran return',0.973
7030788,3423975519,3189898411,'nhnhna000129','nhnhna000133','Veteran return','Veteran return',0.966
7030789,3423975519,2186316507,'nhnhna000129','nhnhna000134','Veteran return','Veteran return',0.966
7032006,2692046497,1274983418,'nhnhna000131','nhnhna000132','Veteran return','Veteran return',0.973
7032007,2692046497,3189898411,'nhnhna000131','nhnhna000133','Veteran return','Veteran return',0.973
7032008,2692046497,2186316507,'nhnhna000131','nhnhna000134','Veteran return','Veteran return',0.973
7033225,1274983418,3189898411,'nhnhna000132','nhnhna000133','Veteran return','Veteran return',0.973
7033226,1274983418,2186316507,'nhnhna000132','nhnhna000134','Veteran return','Veteran return',0.973
7034443,3189898411,2186316507,'nhnhna000133','nhnhna000134','Veteran return','Veteran return',0.973
7044152,3316638566,3428195938,'nihan090','nihan0909','nihan09','nihan09',0.854
7045360,3316638566,3428195938,'nihan0909','nihan0909','nihan09','nihan09',0.874
7053795,3157072856,3167934599,'njnjnjnj44','njnjnjnj44','M.grayb Brotherhood','M.grayb Brotherhood',0.874
7156768,3380190820,3381548601,'ouaicheu','ouaisheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.969
7189032,3345217433,3332895989,'paraparapaap','sororop','Umm Amira','Umm Amira',0.860
7237395,3822358575,3253871238,'ProtocolKhilafa','ProtocolSiyaam_','Abu Jandal','Abu Jandal',0.954
7238430,3172452237,3184470702,'protocolofislam','protocolofislam','Abu Jandal','Abu Jandal',0.979
7248745,3347552147,3376844045,'Qacem42','qacem45_Eid','Abu al-Qacem Sfaxian','Abu al-Qacem Sfaxian',0.945
7248746,3347552147,3351330592,'Qacem42','qacem_Dheeba_44','Abu al-Qacem Sfaxian','Abu al-Qacem Sfaxian',0.923
7249771,3376844045,3351330592,'qacem45_Eid','qacem_Dheeba_44','Abu al-Qacem Sfaxian','Abu al-Qacem Sfaxian',0.922
7259976,3220702207,3233321903,'qCensored31','qCensored31','Media Centeru2122','Media Studies Center',0.794
7467091,1348914792,3257120107,'SeekerHaqq','SeekerHaqq','Haqq seeker','Haqq Seeker',0.874
7471786,3319212834,3435378341,'sejen_buka','Sejen_buka','Juhayman','Juhayman',0.874
7495492,3146048000,3236311881,'shakomako7','shlonesh','Captain Fallujah','Captain Fallujah',0.866
7495493,3146048000,3252954670,'shakomako7','shlonesh','Captain Fallujah','Captain Fallujah',0.866
7511695,3146048000,3236311881,'shlonesh','shlonesh','Captain Fallujah','Captain Fallujah',0.979
7511696,3146048000,3252954670,'shlonesh','shlonesh','Captain Fallujah','Captain Fallujah',0.979
7512421,3236311881,3252954670,'shlonesh','shlonesh','Captain Fallujah','Captain Fallujah',0.979
7536511,192294977,1100317100,'Skxx59','skxxxx46','Skafisti','Skafisti',0.929
7639093,3193527713,3381049822,'TheScimitar1','TheScimitar107','Al Islam Baqiyah ','Al Islam Baqiyah ',0.847
7639094,3193527713,3386468699,'TheScimitar1','TheScimitar108','Al Islam Baqiyah ','Al Islam Baqiyah ',0.847
7639615,3381049822,3386468699,'TheScimitar107','TheScimitar108','Al Islam Baqiyah ','Al Islam Baqiyah ',0.974
7648840,3144375526,3382457614,'TimiMuslimmm','TimiMuslimmmm','Timi Muslim','Timi Muslim',0.861
7668180,3347567032,3346907751,'TunsiMarwan__','Tunsi_Marwan_','Tunsi Marwan','TunsiMarwan',0.803
